Group	Bin
WIS	46
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	34
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	0
WIS	62
WIS	62
WIS	62
WIS	62
WIS	1
WIS	51
WIS	15
WIS	62
WIS	62
WIS	62
WIS	62
WIS	29
WIS	62
WIS	62
WIS	62
WIS	62
WIS	110
WIS	62
WIS	62
WIS	57
WIS	17
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	74
WIS	62
WIS	62
WIS	62
WIS	73
WIS	58
WIS	118
WIS	62
WIS	62
WIS	62
WIS	12
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	25
WIS	62
WIS	62
WIS	13
WIS	62
WIS	62
WIS	0
WIS	57
WIS	62
WIS	62
WIS	40
WIS	69
WIS	62
WIS	97
WIS	33
WIS	15
WIS	62
WIS	118
WIS	62
WIS	0
WIS	0
WIS	0
WIS	0
WIS	88
WIS	62
WIS	112
WIS	62
WIS	62
WIS	62
WIS	12
WIS	63
WIS	6
WIS	124
WIS	61
WIS	62
WIS	85
WIS	109
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	63
WIS	46
WIS	57
WIS	24
WIS	62
WIS	62
WIS	62
WIS	0
WIS	124
WIS	62
WIS	62
WIS	62
WIS	58
WIS	65
WIS	62
WIS	53
WIS	120
WIS	62
WIS	28
WIS	9
WIS	1
WIS	0
WIS	0
WIS	0
WIS	0
WIS	62
WIS	5
WIS	62
WIS	62
WIS	97
WIS	62
WIS	51
WIS	38
WIS	7
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	62
WIS	12
WIS	62
WIS	83
WIS	61
WIS	62
WIS	62
WIS	62
WIS	62
WIS	66
WIS	53
WIS	62
WIS	62
WIS	1
WIS	86
WIS	62
WIS	64
WIS	122
WIS	62
WIS	30
WIS	62
WIS	62
WIS	15
WIS	62
WIS	62
WIS	62
